0,"A Good Librarian Like a Good Shepherd",Adorari,2088,"Trivia game",12,41302
1,"A Plague Tale: Innocence",Dorizel,2055,"Business",0,22203
2,"A Short Hike",Doomterror,2019,"Co-op",12,18894
3,"A Story About My Uncle",Peginn,2111,"MMOFPS",0,68027
4,"A Way Out",Shadowstalker,2023,"Management simulation",21,45167
5,"A.R.S.E.N.A.L.",Malalace,2009,"Top Down Shooter",21,26334
6,"A3!",Dorizel,2023,"MOBA",14,44870
7,"A Reckless Disregard for Gravity",Kazahn,2005,"Side-scroller",12,71334
8,"Aah! Harimanada",Andromagar,2020,"Pinball",6,35256
9,"Abadox: The Deadly Inner War",Buridred,2012,"Light gun",21,87896
10,"Abandoned Places",Mazulmaran,2118,"Dating Sim",18,35608
11,"Abandoned Places 2",Dagdawield,2045,"Point & click adventure",6,70865
12,"Abi: A Robot’s Tale",Ballasida,2065,"MMOFPS",14,94089
13,"Abrams Battle Tank",Steelfury,2093,"Sport",0,57403
14,"Absolute Obedience",Nuadarius,2114,"Global Wargame",18,76403
15,"Absolver",Opilen,2049,"Building",12,93225
16,"Abyss",Kaktilar,2028,"Grand strategy wargame",18,15931
17,"Abzû",Burilore,2050,"Trivia game",12,76416
18,"Accel World",Nuadarius,2030,"Management simulation",14,67412
19,"Ace Combat 2",Doomsong,2095,"Real-time 2D adventure",12,14658
20,"Ace Combat 3: Electrosphere",Kathrimand,2094,"Real-time 2D adventure",12,62731
21,"Ace Combat 7: Skies Unknown",Burilore,2060,"Action-adventure",14,44534
22,"Ace Combat X: Skies of Deception",Moranin,2010,"Sim Strategy",6,60304
23,"Ace Combat: Assault Horizon",Adorari,2092,"Vehicular combat",0,97310
24,"Ace Combat: Assault Horizon Legacy",Peginn,2114,"Real-time tactic",12,42261
25,"Ace of Spades  ",Akikus,2089,"Massively multiplayer",14,16330
26,"Ace Online",Dagdawield,2044,"Hack & Slash",12,85674
27,"Ace Ventura: The CD-Rom Game",Gardalabar,2060,"Party game",6,86498
28,"Acid Drop",Blackhunter,2074,"Logic",21,85533
29,"Act of War: Direct Action",Bonaya,2050,"Top Down Shooter",6,37629
30,"Action 52",Alsariel,2119,"Strategy RPG",0,62018
31,"Action Half-Life",Ironfist,2107,"Open RPG",21,44002
32,"Active Worlds",Shalilmeena,2085,"Death Racing",14,14561
33,"ActRaiser",Wrathfang,2048,"Tactic",18,12651
34,"ActRaiser 2",Saktilar,2117,"Platformer 3D",14,32134
35,"The Addams Family",Snowseeker,2111,"MOBA",0,93022
36,"Addams Family Values  ",Runesmith,2009,"MMOFPS",0,70453
37,"Adrift",Wrathfang,2091,"Shooter",6,91806
38,"Advent Rising",Opilen,2104,"Novel",21,52516
39,"Adventure (1979)",Conjurn,2007,"Fantasy",18,4692
40,"Adventure Island",Kijinn,2113,"Choices",12,9680
41,"Adventure Island II",Mavemeena,2088,"Slasher",14,7834
42,"Adventure Island III",Kazishakar,2109,"Horror",12,19049
43,"Adventure Island IV",Ballasida,2107,"Board game",18,46116
44,"Adventure Time: Hey Ice King!",Nilalanim,2093,"Combat",21,25203
45,"Adventures in the Magic Kingdom",Malolak,2083,"Platformer 3D",21,18870
